rental_id,duration,duration_ms,bike_id,bike_model,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
57906797,780,780000,4833,,2016-09-01 18:39:00.000000 UTC,,"Belgrove Street , King's Cross",2016-09-01 18:26:00.000000 UTC,,"Winsland Street, Paddington",1011,3496,1
57963678,780,780000,10398,,2016-09-03 12:57:00.000000 UTC,,"Aquatic Centre, Queen Elizabeth Olympic Park",2016-09-03 12:44:00.000000 UTC,,"Twig Folly Bridge, Mile End",300233,200167,1
58066404,780,780000,8597,,2016-09-06 18:37:00.000000 UTC,,"Bancroft Road, Bethnal Green",2016-09-06 18:24:00.000000 UTC,,"Hertford Road, De Beauvoir Town",200234,300092,0
58012518,780,780000,14220,,2016-09-05 09:28:00.000000 UTC,,"Tavistock Street, Covent Garden",2016-09-05 09:15:00.000000 UTC,,"Belgrove Street , King's Cross",1207,1011,1
57966020,780,780000,6091,,2016-09-03 13:51:00.000000 UTC,,"Brushfield Street, Liverpool Street",2016-09-03 13:38:00.000000 UTC,,"Bethnal Green Garden, Bethnal Green",1161,200047,1
58071780,780,780000,13457,,2016-09-06 20:09:00.000000 UTC,,"Palace Gardens Terrace, Notting Hill",2016-09-06 19:56:00.000000 UTC,,"Albert Gate, Hyde Park",2633,1132,0
58031444,780,780000,8728,,2016-09-05 19:22:00.000000 UTC,,"Nesham Street, Wapping",2016-09-05 19:09:00.000000 UTC,,"Watney Street, Shadwell",1031,200149,0
57941258,780,780000,3554,,2016-09-02 17:27:00.000000 UTC,,"Waterloo Station 3, Waterloo",2016-09-02 17:14:00.000000 UTC,,"St. James's Square, St. James's",1072,1067,1
58002703,780,780000,12482,,2016-09-04 19:49:00.000000 UTC,,"Cadogan Close, Victoria Park",2016-09-04 19:36:00.000000 UTC,,"Regent's Row , Haggerston",200112,200064,0
57852233,780,780000,957,,2016-08-31 14:16:00.000000 UTC,,"Great Titchfield Street, Fitzrovia",2016-08-31 14:03:00.000000 UTC,,"Hardwick Street, Clerkenwell",3450,1057,0
57842800,780,780000,6410,,2016-08-31 08:59:00.000000 UTC,,"Newgate Street , St. Paul's",2016-08-31 08:46:00.000000 UTC,,"Waterloo Station 1, Waterloo",1074,2696,1
57997932,780,780000,13696,,2016-09-04 17:33:00.000000 UTC,,"New North Road 2, Hoxton",2016-09-04 17:20:00.000000 UTC,,"Granby Street, Shoreditch",2641,22174,0
